level,angle,D,t,a,B,C1,C2,Q,F10,F11,F12,F13,F14,F15,level1
3,180,3000,275,550,4650,550,1775,5.862,2557500,8253750,4948990.1771,1.9299916754e-10,5.8622598229,,2、3
06MS201-1,20,90°,D=150~600钢筋混凝土管,,,,,,,,,,,,06MS201-1
2,90,150,25,80,360,80,29,0.036,28800,10440,7853.981634,5000,0.036386018366,,
2,90,200,27,80,414,80,37,0.044,33120,15318,12667.686977,8064.5,0.043834813023,,
2,90,250,33,80,476,80,46,0.053,38080,21896,19606.679751,12482,0.052851320249,,
2,90,300,40,80,540,80,56,0.063,43200,30240,28352.873699,18050,0.063137126301,,
2,90,350,45,90,620,90,64,0.082,55800,39680,38013.271108,24200,0.081666728892,,
2,90,400,47,100,694,100,72,0.102,69400,49968,47916.356551,30504.5,0.10195614345,,
2,90,450,50,100,750,100,81,0.114,75000,60750,59395.736107,37812.5,0.11416676389,,
2,90,500,55,110,730,110,89,0.139,80300,64970,73061.66415,46512.5,0.11872083585,,
2,90,600,65,130,990,130,107,0.197,128700,105930,104634.67032,66612.5,0.19660782968,,
06MS201-1,21,120°,D=150~600钢筋混凝土管,,,,,,,,,,,,06MS201-1
1,120,150,19,80,360,80,47,0.039,28800,16920,9253.0375624,3826.1002339,0.040293062672,,1
1,120,200,22,80,414,80,61,0.048,33120,25254,15586.488352,6444.961055,0.049232472703,,1
1,120,250,25,80,476,80,75,0.057,38080,35700,23561.944902,9742.7857926,0.059960840891,,1
1,120,300,30,80,540,80,90,0.069,43200,48600,33929.200659,14029.611541,0.071900410883,,1
1,120,350,35,80,620,80,105,0.08,49600,65100,46181.412008,19095.860153,0.087614448146,,1
1,120,400,40,80,694,80,120,0.093,55520,83280,60318.578949,24941.531629,0.10342295268,,1
1,120,450,45,90,750,90,135,0.117,67500,101250,76340.701482,31566.625968,0.12397592449,,1
1,120,500,50,100,730,100,150,0.145,73000,109500,94247.779608,38971.14317,0.12722336356,,1
1,120,600,60,120,990,120,180,0.208,118800,178200,135716.80264,56118.446165,0.21740164353,,1
2,120,150,25,80,360,80,50,0.041,28800,18000,10471.975512,4330.1270189,0.040658151507,,2
2,120,200,27,80,414,80,63,0.05,33120,26082,16890.249303,6984.0618688,0.049295812566,,2
2,120,250,33,80,476,80,78,0.06,38080,37128,26142.239668,10809.72909,0.059875489422,,2
2,120,300,40,80,540,80,95,0.072,43200,51300,37803.831598,15631.758538,0.07232792694,,2
2,120,350,45,90,620,90,110,0.096,55800,68200,50684.361478,20957.814772,0.094273453294,,2
2,120,400,47,100,694,100,123,0.118,69400,85362,63888.475401,26417.67193,0.11729119653,,2
2,120,450,50,100,750,100,137,0.132,75000,102750,79194.314809,32746.585581,0.13130227077,,2
2,120,500,55,110,730,110,152,0.161,80300,110960,97415.5522,40281.006594,0.13412545439,,2
2,120,600,65,130,990,130,182,0.228,128700,180180,139512.89376,57688.11721,0.22705522345,,2
06MS201-1,22,180°,D=150~600钢筋混凝土管,,,,,,,,,,,,06MS201-1
1,180,150,19,80,348,80,94,0.047,27840,32712,13879.556344,5.4127058738e-13,0.046672443656,,1
1,180,200,22,80,404,80,122,0.057,32320,49288,23379.732528,9.1175548014e-13,0.058228267472,,1
1,180,250,25,80,460,80,150,0.07,36800,69000,35342.917353,1.3782920118e-12,0.070457082647,,1
1,180,300,30,80,520,80,180,0.084,41600,93600,50893.800988,1.984740497e-12,0.084306199012,,1
1,180,350,35,80,580,80,210,0.099,46400,121800,69272.118012,2.7014523431e-12,0.098927881988,,1
1,180,400,40,80,640,80,240,0.114,51200,153600,90477.868423,3.5284275501e-12,0.11432213158,,1
1,180,450,45,90,720,90,270,0.145,64800,194400,114511.05222,4.4656661181e-12,0.14468894778,,1
1,180,500,50,100,800,100,300,0.179,80000,240000,141371.66941,5.5131680471e-12,0.17862833059,,1
1,180,600,60,120,960,120,360,0.257,115200,345600,203575.20395,7.9389619878e-12,0.25722479605,,1
2,180,150,25,80,360,80,100,0.049,28800,36000,15707.963268,6.1257422745e-13,0.049092036732,,2
2,180,200,27,80,414,80,127,0.06,33120,52578,25335.373955,9.8802097146e-13,0.060362626045,,2
2,180,250,33,80,476,80,158,0.074,38080,75208,39213.359502,1.5292303014e-12,0.074074640498,,2
2,180,300,40,80,540,80,190,0.089,43200,102600,56705.747397,2.2113929611e-12,0.089094252603,,2
2,180,350,45,90,620,90,220,0.116,55800,136400,76026.542217,2.9648592609e-12,0.11617345778,,2
2,180,400,47,100,694,100,247,0.145,69400,171418,95832.713101,3.7372541043e-12,0.1449852869,,2
2,180,450,50,100,750,100,285,0.162,75000,213750,118791.47221,4.6325925951e-12,0.16995852779,,2
2,180,500,55,110,730,110,305,0.198,80300,222650,146123.3283,5.6984717509e-12,0.1568266717,,2
2,180,600,65,130,990,130,365,0.281,128700,361350,209269.34064,8.1610201453e-12,0.28078065936,,2
